,0
0,1.8669590643274854
1,1.4166666666666667
2,1.6038011695906433
3,1.1147660818713452
4,1.301169590643275
5,1.324561403508772
6,1.2485380116959064
7,0.9532163742690059
8,0.8003174802219288
9,0.7708081871345028
10,2.7172683813455443
11,2.7464005847953215
12,9.519008236045956
13,9.509336549707603
14,20.284437340276618
15,20.314785087719297
16,1.8793859649122806
17,1.726608187134503
18,1.9071637426900585
19,1.230263157894737
20,1.4861111111111112
21,1.1776315789473684
22,1.4861111111111112
23,1.212719298245614
24,2.141812865497076
25,1.5387426900584795
26,1.6169590643274854
27,1.4181286549707603
28,1.6038011695906433
29,1.2463450292397662
30,1.301169590643275
31,1.125
32,0.7992515482852386
33,0.7755944444444444
34,2.913850429561356
35,2.9417791666666666
36,9.560345880313463
37,9.570416739766081
38,20.844573992098116
39,20.830724926900583
40,2.3333333333333335
41,1.536549707602339
42,1.9203216374269005
43,1.3896198830409356
44,1.9071637426900585
45,1.4554093567251463
46,1.4861111111111112
47,1.4364035087719298
48,2.43859649122807
49,1.4853801169590644
50,1.773391812865497
51,1.4437134502923976
52,1.4839181286549707
53,1.2587719298245614
54,1.301169590643275
55,1.02046783625731
56,0.807640504479409
57,0.7543430921052631
58,2.93949654759271
59,2.9032933296783625
60,9.546892369027466
61,9.56461023391813
62,20.868805023487305
63,20.85144994517544
64,2.720029239766082
65,1.5102339181286548
66,2.101608187134503
67,1.2054093567251463
68,1.6937134502923976
69,1.2185672514619883
70,1.4583333333333333
71,1.3896198830409356
72,3103.6410098522165
73,893.7087438423646
74,2777.775554187192
75,1308.2912561576354
76,2760.232450738916
77,1051.7364532019703
78,2947.6693349753696
79,1093.6862684729065
80,1990.0226990909434
81,719.6653394088669
82,39549.3259352318
83,39052.35773497536
84,166856.23170479567
85,167016.66707142856
86,364630.8172445506
87,365243.3658839901
88,2777.775554187192
89,1308.2912561576354
90,2821.382697044335
91,1374.2998768472905
92,2821.382697044335
93,1374.2998768472905
94,2821.382697044335
95,1374.2998768472905
96,3019.9113300492613
97,1034.051724137931
98,2777.775554187192
99,1308.2912561576354
100,2703.42210591133
101,1005.1194581280788
102,2706.34328817734
103,992.6099137931035
104,1990.9892987544831
105,704.122370812808
106,42780.53982211022
107,42290.10246416256
108,166765.83456022455
109,166970.94135326357
110,374849.63241855695
111,375264.3308593288
112,2777.775554187192
113,1308.2912561576354
114,2821.382697044335
115,1374.2998768472905
116,2821.382697044335
117,1374.2998768472905
118,2821.382697044335
119,1374.2998768472905
120,3062.0914408866997
121,1013.0775862068965
122,2777.775554187192
123,1308.2912561576354
124,2701.1376231527092
125,1012.7099753694581
126,2818.5363300492613
127,1040.0295566502464
128,1988.479527758438
129,681.4698916564038
130,42751.925669232216
131,42321.822253009545
132,166807.85077008462
133,167028.11103237377
134,374711.52806639485
135,375148.80652666255
136,2777.775554187192
137,1308.2912561576354
138,2821.382697044335
139,1374.2998768472905
140,2821.382697044335
141,1374.2998768472905
142,2821.382697044335
143,1374.2998768472905
144,0.990000002583758
145,1.0495379981837578
146,0.990000002583758
147,1.120576469783758
148,0.990000002583758
149,0.9505792541837579
150,0.990000002583758
151,0.879540782583758
152,0.9352041268135118
153,0.7566239412732917
154,0.9321718237241416
155,0.7755713747305425
156,0.9261765190877173
157,0.8289026135956146
158,0.9594140123639848
159,0.912166972712116
160,1.269956359583758
161,1.316494294383758
162,1.023574619583758
163,1.250875229383758
164,1.023574619583758
165,1.2512333333837578
166,1.023574619583758
167,1.2512333333837578
168,0.990000002583758
169,0.942275214583758
170,0.990000002583758
171,1.009481324183758
172,0.990000002583758
173,0.879540782583758
174,0.990000002583758
175,1.002916882183758
176,0.9205327051493091
177,0.7553731753983222
178,0.9325039515404274
179,0.7801049551864183
180,0.9349306081593917
181,0.8414066027542726
182,0.9563350158925091
183,0.9168694432626934
184,1.269956359583758
185,1.316494294383758
186,1.023574619583758
187,1.2653619013837578
188,1.023574619583758
189,1.2653619013837578
190,1.023574619583758
191,1.1788957053837579
192,0.990000002583758
193,0.987628502183758
194,1.048902072583758
195,1.151117826183758
196,0.990000002583758
197,0.8825903145837579
198,0.990000002583758
199,1.002916882183758
200,0.9046751357609422
201,0.7447157922265252
202,0.9699789650786401
203,0.8356166557125572
204,0.9303106659186118
205,0.8447092472459822
206,0.9602355742988435
207,0.9115586476349796
208,1.269956359583758
209,1.316494294383758
210,1.023574619583758
211,1.2653619013837578
212,1.023574619583758
213,1.2653619013837578
214,1.023574619583758
215,1.2653619013837578
216,26383728.245352566
217,9595716.940064102
218,20058650.387660258
219,10994602.058333334
220,28031397.356410258
221,11217200.342467949
222,20986347.899038464
223,10424068.591185898
224,12263862.298942573
225,7388767.525923045
226,22537328.58289238
227,18274798.018361848
228,50608296.69348968
229,48952499.793572105
230,94988818.11167322
231,95889557.87954462
232,20058650.387660258
233,12164335.083333332
234,14357811.746153846
235,11713765.31474359
236,14357811.746153846
237,11713765.31474359
238,14357811.746153846
239,11713765.31474359
240,21426787.764583334
241,10763158.418429486
242,20058650.387660258
243,12161831.839583334
244,25959255.093910255
245,10914465.518910255
246,30971339.686057694
247,7800022.270032052
248,12342422.836568309
249,7627789.563924188
250,23087465.255418845
251,19013455.742658615
252,50403636.894511715
253,48914336.579189315
254,97638429.92053714
255,97629665.65099631
