,Features.Entropy.Mean,Features.Entropy.StandardDeviation,Features.Entropy.Skew,Features.Entropy.Kurtosis,Features.MutualInformation.Mean,Features.MutualInformation.StandardDeviation,Features.MutualInformation.Skew,Features.MutualInformation.Kurtosis,FeaturesLabels.MutualInformation.Mean,FeaturesLabels.MutualInformation.StandardDeviation,FeaturesLabels.MutualInformation.Skew,FeaturesLabels.MutualInformation.Kurtosis,Features.SpearmanCorrelation.Mean,Features.SpearmanCorrelation.StandardDeviation,Features.SpearmanCorrelation.Skew,Features.SpearmanCorrelation.Kurtosis,Features.Mean.Mean,Features.Mean.StandardDeviation,Features.Mean.Skew,Features.Mean.Kurtosis,Features.StandardDeviation.Mean,Features.StandardDeviation.StandardDeviation,Features.StandardDeviation.Skew,Features.StandardDeviation.Kurtosis,Features.Skew.Mean,Features.Skew.StandardDeviation,Features.Skew.Skew,Features.Skew.Kurtosis,Features.Kurtosis.Mean,Features.Kurtosis.StandardDeviation,Features.Kurtosis.Skew,Features.Kurtosis.Kurtosis,Number of Examples,Number of Features,Number of Classes,FeaturesLabels.SpearmanCorrelation.Mean,FeaturesLabels.SpearmanCorrelation.StandardDeviation,FeaturesLabels.SpearmanCorrelation.Skew,FeaturesLabels.SpearmanCorrelation.Kurtosis,n_estimators,pruning_method,pruning_cp,ds,Algorithm
0,,,,,0.06403498854629351,0.1988985415490506,4.182745581368318,16.592164095805877,0.10592727679523772,0.18549901705759553,3.5140999566544666,13.68800650978232,-0.019132624290657763,0.12402180007417653,0.34973436411274433,-0.991252839738836,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,898,39,5,,,,,50,-1,0.25,-1,1
1,,,,,0.06403498854629351,0.1988985415490506,4.182745581368318,16.592164095805877,0.10592727679523772,0.18549901705759553,3.5140999566544666,13.68800650978232,-0.019132624290657763,0.12402180007417653,0.34973436411274433,-0.991252839738836,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,898,39,5,,,,,50,0,0.0,-1,1
2,,,,,0.06403498854629351,0.1988985415490506,4.182745581368318,16.592164095805877,0.10592727679523772,0.18549901705759553,3.5140999566544666,13.68800650978232,-0.019132624290657763,0.12402180007417653,0.34973436411274433,-0.991252839738836,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,898,39,5,,,,,50,1,0.25,-1,1
3,,,,,0.06403498854629351,0.1988985415490506,4.182745581368318,16.592164095805877,0.10592727679523772,0.18549901705759553,3.5140999566544666,13.68800650978232,-0.019132624290657763,0.12402180007417653,0.34973436411274433,-0.991252839738836,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,898,39,5,,,,,50,-1,0.5,-1,1
4,,,,,0.06403498854629351,0.1988985415490506,4.182745581368318,16.592164095805877,0.10592727679523772,0.18549901705759553,3.5140999566544666,13.68800650978232,-0.019132624290657763,0.12402180007417653,0.34973436411274433,-0.991252839738836,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,898,39,5,,,,,50,1,0.5,-1,1
5,,,,,0.06403498854629351,0.1988985415490506,4.182745581368318,16.592164095805877,0.10592727679523772,0.18549901705759553,3.5140999566544666,13.68800650978232,-0.019132624290657763,0.12402180007417653,0.34973436411274433,-0.991252839738836,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,898,39,5,,,,,50,-1,0.75,-1,1
6,,,,,0.06403498854629351,0.1988985415490506,4.182745581368318,16.592164095805877,0.10592727679523772,0.18549901705759553,3.5140999566544666,13.68800650978232,-0.019132624290657763,0.12402180007417653,0.34973436411274433,-0.991252839738836,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,898,39,5,,,,,50,1,0.75,-1,1
7,,,,,0.06403498854629351,0.1988985415490506,4.182745581368318,16.592164095805877,0.10592727679523772,0.18549901705759553,3.5140999566544666,13.68800650978232,-0.019132624290657763,0.12402180007417653,0.34973436411274433,-0.991252839738836,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,898,39,5,,,,,50,-1,0.25,0,1
8,,,,,0.06403498854629351,0.1988985415490506,4.182745581368318,16.592164095805877,0.10592727679523772,0.18549901705759553,3.5140999566544666,13.68800650978232,-0.019132624290657763,0.12402180007417653,0.34973436411274433,-0.991252839738836,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,898,39,5,,,,,50,0,0.0,0,1
9,,,,,0.06403498854629351,0.1988985415490506,4.182745581368318,16.592164095805877,0.10592727679523772,0.18549901705759553,3.5140999566544666,13.68800650978232,-0.019132624290657763,0.12402180007417653,0.34973436411274433,-0.991252839738836,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,898,39,5,,,,,50,1,0.25,0,1
