,0
0,1.516524751391343
1,1.131588830605032
2,1.075087040312943
3,1.1174925589139924
4,2.931701681524828
5,2.7473206237914303
6,2.80426540114722
7,2.9147859312349538
8,1.516524751391343
9,1.131588830605032
10,1.075087040312943
11,1.1174925589139924
12,8.89770069829792
13,8.867874605436617
14,9.020459038000674
15,9.083089484485475
16,1.516524751391343
17,1.131588830605032
18,1.075087040312943
19,1.1174925589139924
20,18.69861491352641
21,18.762658439200546
22,18.886447834960133
23,18.93701819457863
24,1.516524751391343
25,1.1315888306050326
26,1.0750870403129433
27,1.1174925589139924
28,2.9317016815248276
29,2.74732062379143
30,2.8042654011472186
31,2.9147859312349538
32,1.516524751391343
33,1.1315888306050326
34,1.0750870403129433
35,1.1174925589139924
36,8.89770069829792
37,8.867874605436617
38,9.020459038000674
39,9.083089484485475
40,1.516524751391343
41,1.1315888306050326
42,1.0750870403129433
43,1.1174925589139924
44,18.698614913526413
45,18.762658439200546
46,18.886447834960137
47,18.93701819457863
48,1.3292158358113502
49,1.033923747282447
50,0.9805785676535469
51,1.0186652488463954
52,2.871604117741972
53,2.7277716088926183
54,2.8022024079338466
55,2.903752601756631
56,1.3292158358113502
57,1.033923747282447
58,0.9805785676535469
59,1.0186652488463954
60,8.726960248836297
61,8.737842717279143
62,8.872983762740285
63,9.005773181962104
64,1.3292158358113502
65,1.033923747282447
66,0.9805785676535469
67,1.0186652488463954
68,19.1110179672056
69,19.22186884051995
70,19.3215690785023
71,19.405174002772842
72,1.329215835811351
73,1.0339237472824478
74,0.9805785676535469
75,1.0186652488463936
76,2.8716041177419727
77,2.7277716088926183
78,2.8022024079338457
79,2.903752601756631
80,1.329215835811351
81,1.0339237472824478
82,0.9805785676535469
83,1.0186652488463936
84,8.726960248836297
85,8.737842717279142
86,8.872983762740285
87,9.005773181962102
88,1.329215835811351
89,1.0339237472824478
90,0.9805785676535469
91,1.0186652488463936
92,19.1110179672056
93,19.221868840519942
94,19.3215690785023
95,19.405174002772842
96,1.3100830487625899
97,1.0409748173449906
98,0.9912828243384925
99,1.0095702925412706
100,2.816515946488485
101,2.717864217320853
102,2.770650153555985
103,2.839107724292178
104,1.3100830487625899
105,1.0409748173449906
106,0.9912828243384925
107,1.0095702925412706
108,8.714071557142898
109,8.734359025156625
110,8.853570987959925
111,8.936955082716763
112,1.3100830487625899
113,1.0409748173449906
114,0.9912828243384925
115,1.0095702925412706
116,19.198782835738104
117,19.213584025790205
118,19.324563485308698
119,19.450934521773224
120,1.310083048762589
121,1.0409748173449918
122,0.9912828243384921
123,1.0095702925412688
124,2.816515946488482
125,2.7178642173208547
126,2.770650153555985
127,2.8391077242921803
128,1.310083048762589
129,1.0409748173449918
130,0.9912828243384921
131,1.0095702925412688
132,8.714071557142898
133,8.734359025156625
134,8.853570987959925
135,8.936955082716766
136,1.310083048762589
137,1.0409748173449918
138,0.9912828243384921
139,1.0095702925412688
140,19.198782835738104
141,19.213584025790205
142,19.324563485308698
143,19.450934521773224
144,2521.1571005859387
145,1295.8517805164488
146,1081.7227631801234
147,1011.5826385569153
148,48015.08870996446
149,45458.45372907109
150,44475.62257117243
151,44627.68886351285
152,2521.1571005859387
153,1295.8517805164488
154,1081.7227631801234
155,1011.5826385569153
156,183252.02953809727
157,180266.4061675741
158,179105.22050618083
159,179095.17648121936
160,2521.1571005859387
161,1295.8517805164488
162,1081.7227631801234
163,1011.5826385569153
164,386113.7114735198
165,383394.7962087088
166,382835.90480447817
167,382903.30962295097
168,2521.1571005859314
169,1295.8517805164488
170,1081.7227631801243
171,1011.5826385569147
172,48015.08870996446
173,45458.45372907109
174,44475.622571172426
175,44627.688863512834
176,2521.1571005859314
177,1295.8517805164488
178,1081.7227631801243
179,1011.5826385569147
180,183252.02953809727
181,180266.40616757402
182,179105.22050618083
183,179095.17648121936
184,2521.1571005859314
185,1295.8517805164488
186,1081.7227631801243
187,1011.5826385569147
188,386113.7114735198
189,383394.7962087088
190,382835.90480447817
191,382903.30962295097
192,2584.273012148168
193,1314.0789952247594
194,1080.1915837372044
195,1011.1875943933818
196,51546.88410137002
197,48928.488567759145
198,47846.27476511908
199,47963.90072350156
200,2584.273012148168
201,1314.0789952247594
202,1080.1915837372044
203,1011.1875943933818
204,182997.28890275868
205,180308.07557311768
206,178959.7592435144
207,178968.4753328119
208,2584.273012148168
209,1314.0789952247594
210,1080.1915837372044
211,1011.1875943933818
212,395885.27897761203
213,394103.0011350903
214,393377.87377769774
215,393238.4324115627
216,2584.2730121481623
217,1314.0789952247587
218,1080.1915837372148
219,1011.1875943933738
220,51546.88410137005
221,48928.488567759116
222,47846.27476511908
223,47963.90072350157
224,2584.2730121481623
225,1314.0789952247587
226,1080.1915837372148
227,1011.1875943933738
228,182997.28890275868
229,180308.07557311765
230,178959.75924351433
231,178968.475332812
232,2584.2730121481623
233,1314.0789952247587
234,1080.1915837372148
235,1011.1875943933738
236,395885.27897761203
237,394103.0011350903
238,393377.87377769774
239,393238.4324115627
240,2598.0233298341977
241,1377.0282020861496
242,1138.5310046163825
243,1065.3447045535872
244,51342.36062556065
245,48839.85637340307
246,47730.254012867124
247,47897.11517413573
248,2598.0233298341977
249,1377.0282020861496
250,1138.5310046163825
251,1065.3447045535872
252,182757.9988573215
253,180116.54571688458
254,178884.6552591837
255,178814.72066696436
256,2598.0233298341977
257,1377.0282020861496
258,1138.5310046163825
259,1065.3447045535872
260,395981.54091662035
261,394086.084295336
262,393137.4576662449
263,393142.5447843852
264,2598.0233298341873
265,1377.0282020861487
266,1138.5310046163786
267,1065.3447045535847
268,51342.36062556063
269,48839.85637340303
270,47730.2540128671
271,47897.11517413575
272,2598.0233298341873
273,1377.0282020861487
274,1138.5310046163786
275,1065.3447045535847
276,182757.99885732142
277,180116.54571688452
278,178884.6552591837
279,178814.72066696442
280,2598.0233298341873
281,1377.0282020861487
282,1138.5310046163786
283,1065.3447045535847
284,395981.54091662046
285,394086.084295336
286,393137.4576662449
287,393142.54478438525
288,1.0997518656379988
289,1.0187832789673625
290,0.9263800984536624
291,0.926470958775626
292,1.0832807987736661
293,1.0507912124817727
294,0.9571068716700671
295,0.9483583806642237
296,1.0997518656379988
297,1.0187832789673625
298,0.9263800984536624
299,0.926470958775626
300,1.0725000933302704
301,1.0326895433012022
302,1.0072463027457819
303,1.0255657359247685
304,1.0997518656379988
305,1.0187832789673625
306,0.9263800984536624
307,0.926470958775626
308,1.0602989918001477
309,1.0866529779906773
310,1.074323444596931
311,1.071667896611347
312,1.0997518656379988
313,1.0187832789673625
314,0.9263800984536624
315,0.9264709587756259
316,1.0832807987736661
317,1.0507912124817727
318,0.9571068716700671
319,0.9483583806642237
320,1.0997518656379988
321,1.0187832789673625
322,0.9263800984536624
323,0.9264709587756259
324,1.0725000933302704
325,1.032689543301202
326,1.0072463027457819
327,1.0255657359247685
328,1.0997518656379988
329,1.0187832789673625
330,0.9263800984536624
331,0.9264709587756259
332,1.0602989918001477
333,1.0866529779906773
334,1.074323444596931
335,1.071667896611347
336,1.030776191955039
337,0.9840346427436134
338,0.9408045169312222
339,0.8952620516830747
340,1.037201691327279
341,1.0184352810728088
342,0.9578646581529382
343,0.9278250563821829
344,1.030776191955039
345,0.9840346427436134
