,Features.Entropy.Mean,Features.Entropy.StandardDeviation,Features.Entropy.Skew,Features.Entropy.Kurtosis,FeaturesLabels.SpearmanCorrelation.Mean,FeaturesLabels.SpearmanCorrelation.StandardDeviation,FeaturesLabels.SpearmanCorrelation.Skew,FeaturesLabels.SpearmanCorrelation.Kurtosis,Features.Mean.Mean,Features.Mean.StandardDeviation,Features.Mean.Skew,Features.Mean.Kurtosis,Features.StandardDeviation.Mean,Features.StandardDeviation.StandardDeviation,Features.StandardDeviation.Skew,Features.StandardDeviation.Kurtosis,Features.Skew.Mean,Features.Skew.StandardDeviation,Features.Skew.Skew,Features.Skew.Kurtosis,Features.Kurtosis.Mean,Features.Kurtosis.StandardDeviation,Features.Kurtosis.Skew,Features.Kurtosis.Kurtosis,Number of Examples,Number of Features,Number of Classes,Features.MutualInformation.Mean,Features.MutualInformation.StandardDeviation,Features.MutualInformation.Skew,Features.MutualInformation.Kurtosis,Features.SpearmanCorrelation.Mean,Features.SpearmanCorrelation.StandardDeviation,Features.SpearmanCorrelation.Skew,Features.SpearmanCorrelation.Kurtosis,FeaturesLabels.MutualInformation.Mean,FeaturesLabels.MutualInformation.StandardDeviation,FeaturesLabels.MutualInformation.Skew,FeaturesLabels.MutualInformation.Kurtosis,bootstrap,bootstrap_features,n_estimators,max_samples,max_features,pruning_method,pruning_cp,ds,Algorithm
0,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,-1,0.25,-1,1
1,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,-1,0.25,-1,2
2,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,-1,0.25,-1,3
3,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,-1,0.25,-1,4
4,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,0,0.25,-1,1
5,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,0,0.25,-1,2
6,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,0,0.25,-1,3
7,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,0,0.25,-1,4
8,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,1,0.25,-1,1
9,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,1,0.25,-1,2
10,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,1,0.25,-1,3
11,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,1,0.25,-1,4
12,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,-1,0.5,-1,1
13,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,-1,0.5,-1,2
14,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,-1,0.5,-1,3
15,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,-1,0.5,-1,4
16,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,0,0.5,-1,1
17,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,0,0.5,-1,2
18,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,0,0.5,-1,3
19,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,0,0.5,-1,4
20,6.310176200282141,0.09614078109142676,-1.3908880821095315e-14,-2.0,0.22130040539318702,0.7786995946068129,0.0,-2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,108,4,26,,,,,,,,,,,,,1,0,50,1.0,1.0,1,0.5,-1,1
